Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YJL160C::chr00_22	YJL160C			"Putative protein of unknown function; member of the PIR (proteins with internal repeats) family of cell wall proteins; non-essential gene that is required for sporulation; mRNA is weakly cell cycle regulated, peaking in mitosis"	molecular_function (ND)	biological_process (ND)	cellular_component (ND); extracellular region (IEA)	no	hom
YJL161W::chr00_14	FMP33	0.540747	0.0600013	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); mitochondrion (IDA)	no	hom
YJL162C::chr10_1	JJJ2	-0.329173	-0.0569328	"Protein of unknown function, contains a J-domain, which is a region with homology to the E. coli DnaJ protein"	heat shock protein binding (IEA); molecular_function (ND); unfolded protein binding (IEA)	biological_process (ND); protein folding (IEA)	"cytoplasm (IDA, IEA); nucleus (IEA, IDA)"	no	hom
YJL163C::chr00_14	YJL163C	-0.635707	-0.0522923	Putative protein of unknown function	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YJL164C::chr10_1	TPK1	-1.1267	-0.0707482	cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk2p and Tpk3p	"ATP binding (IEA); cAMP-dependent protein kinase activity (IGI, IDA, IEA, IMP); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA); protein serine/threonine kinase activity (IEA); transferase activity (IEA)"	"Ras protein signal transduction (IGI, IMP); cell cycle (IEA); cell division (IEA); protein amino acid phosphorylation (IMP, IEA, IDA)"	"cAMP-dependent protein kinase complex (IGI, IPI, IDA); cytoplasm (IDA); nucleus (IDA)"	no	hom
YJL165C::chr00_14	HAL5	1.28489	0.149802	"Putative protein kinase; overexpression increases sodium and lithium tolerance, whereas gene disruption increases cation and low pH sensitivity and impairs potassium uptake, suggesting a role in regulation of Trk1p and/or Trk2p transporters"	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, ISS); protein serine/threonine kinase activity (IEA); transferase activity (IEA)"	"cellular cation homeostasis (IGI, IMP); protein amino acid phosphorylation (IEA)"	cellular_component (ND)	no	hom
YJL166W::chr10_1	QCR8	0.52079	0.0678467	"Subunit 8 of ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p"	"ubiquinol-cytochrome-c reductase activity (IEA, IMP)"	"aerobic respiration (IMP); mitochondrial electron transport, ubiquinol to cytochrome c (IMP); transport (IEA)"	"membrane (IEA); mitochondrial inner membrane (IEA); mitochondrial respiratory chain (IEA); mitochondrial respiratory chain complex III (IDA); mitochondrion (IDA, IEA)"	no	hom
YJL167W::chr10_1	ERG20	1.64499	0.186032	"Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities; catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis"	"dimethylallyltranstransferase activity (TAS, IDA, IEA); geranyltranstransferase activity (TAS, IEA, IDA); transferase activity (IEA)"	"cholesterol biosynthetic process (IEA); ergosterol biosynthetic process (TAS); farnesyl diphosphate biosynthetic process (IDA); isoprenoid biosynthetic process (IEA, IDA); lipid biosynthetic process (IEA); steroid biosynthetic process (IEA); sterol biosynthetic process (IEA)"	cytoplasm (IEA); cytosol (TAS)	yes	het
YJL168C::chr10_1	SET2	-1.02548	-0.104016	"Histone methyltransferase with a role in transcriptional elongation, methylates a lysine residue of histone H3; associates with the C-terminal domain of Rpo21p; histone methylation activity is regulated by phosphorylation status of Rpo21p"	"histone lysine N-methyltransferase activity (H3-K36 specific) (IDA, IPI, IMP); histone methyltransferase activity (ISS); histone-lysine N-methyltransferase activity (IEA); methyltransferase activity (IEA); transferase activity (IEA)"	"RNA elongation (IDA, IPI); ascospore formation (IMP); histone methylation (IDA, IMP); regulation of transcription, DNA-dependent (IEA, IMP, IDA); transcription (IEA)"	"chromosome (IEA); nucleus (IEA, IPI)"	no	hom
YJL169W::chr10_1	YJL169W	2.33746	0.139345	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YJL168C/SET2"				no	hom
YJL170C::chr10_1	ASG7	1.05442	0.112713	Protein that regulates signaling from a G protein beta subunit Ste4p and its relocalization within the cell; specific to a-cells and induced by alpha-factor	molecular_function (ND)	conjugation with cellular fusion (IEP)	endomembrane system (IEA); integral to membrane (IEA); membrane (IEA); plasma membrane (IDA)	no	hom
YJL171C::chr10_1	YJL171C	0.000592248	0.00169452	"GPI-anchored cell wall protein of unknown function; induced in response to cell wall damaging agents and by mutations in genes involved in cell wall biogenesis; sequence similarity to YBR162C/TOS1, a covalently bound cell wall protein"	molecular_function (ND)	biological_process (ND)	endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); fungal-type cell wall (IDA); integral to membrane (IEA); membrane (IEA); mitochondrion (IDA)	no	hom
YJL172W::chr00_14	CPS1	-0.68609	-0.101341	Vacuolar carboxypeptidase yscS; expression is induced under low-nitrogen conditions	"Gly-X carboxypeptidase activity (IMP, IEA, TAS); carboxypeptidase activity (IEA); hydrolase activity (IEA); metal ion binding (IEA); metallopeptidase activity (IEA); peptidase activity (IEA); protein dimerization activity (IEA); zinc ion binding (IEA)"	"nitrogen compound metabolic process (IMP); proteolysis (IEA, IMP, TAS)"	fungal-type vacuole (TAS); integral to membrane (IEA); membrane (IEA); vacuolar membrane (IEA); vacuole (IEA)	no	hom
YJL173C::chr10_1	RFA3	0.234363	0.0242966	"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"	double-stranded DNA binding (IDA); sequence-specific DNA binding (IDA); single-stranded DNA binding (IDA)	"DNA repair (IMP); DNA replication (IEA, IMP); DNA unwinding during replication (IDA); double-strand break repair via homologous recombination (IGI); establishment of protein localization (IPI); heteroduplex formation (IDA); meiotic recombination (IPI); mitotic recombination (IPI); nucleotide-excision repair (IDA); telomere maintenance via recombination (IPI); telomere maintenance via telomerase (IPI)"	"DNA replication factor A complex (IDA); chromosome, telomeric region (IMP); condensed nuclear chromosome (IDA); nucleus (IEA)"	yes	het
YJL174W::chr00_14	KRE9	1.56428	0.119455	"Glycoprotein involved in cell wall beta-glucan assembly; null mutation leads to severe growth defects, aberrant multibudded morphology, and mating defects"	molecular_function (ND)	"1,6-beta-glucan metabolic process (IMP); cell wall biogenesis (IEA); cell wall organization and biogenesis (IMP, IEA)"	"cell wall (IEA); extracellular region (IEA, IDA)"	yes	het
YJL175W::chr00_14	YJL175W	-0.69696	-0.195088	"Dubious open reading frame unlikely to encode a functional protein; deletion confers resistance to cisplatin, hypersensitivity to 5-fluorouracil, and growth defect at high pH with high calcium; overlaps gene for SWI3 transcription factor"				no	hom
YJL176C::chr10_1	SWI3	-2.40203	-0.834175	"Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2"	DNA binding (IEA); general RNA polymerase II transcription factor activity (TAS)	"ATP-dependent chromatin remodeling (IDA); positive regulation of transcription, DNA-dependent (IDA); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"SWI/SNF complex (IDA, IMP); nucleus (IEA, IDA)"	no	hom
YJL177W::chr00_14	RPL17B	-1.0019	-0.10213	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Ap and has similarity to E. coli L22 and rat L17 ribosomal proteins"	"structural constituent of ribosome (IEA, IDA)"	"translation (IEA, IDA)"	cytoplasm (IEA); cytosolic large ribosomal subunit (IDA); intracellular (IEA); large ribosomal subunit (IEA); ribonucleoprotein complex (IEA); ribosome (IEA)	no	hom
YJL178C::chr10_1	ATG27	0.587502	0.053785	Type I membrane protein involved in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; may be involved in membrane delivery to the pre-autophagosomal structure; binds phosphatidylinositol 3-phosphate	phosphatidylinositol 3-phosphate binding (IDA)	CVT pathway (IMP); autophagic vacuole formation (IMP); autophagy (IEA); peroxisome degradation (IMP); protein localization to pre-autophagosomal structure (IMP); protein transport (IEA); transport (IEA); vesicle organization and biogenesis (IMP)	"Golgi apparatus (IEA); Golgi membrane (IEA); cytoplasmic vesicle (IEA); cytoplasmic vesicle membrane (IEA); integral to membrane (IEA); membrane (IEA, IDA, ISS); mitochondrial membrane (IEA); mitochondrion (IDA, IEA); pre-autophagosomal structure (IDA); trans-Golgi network (IDA)"	no	hom
YJL179W::chr10_1	PFD1	-0.280921	-0.0237949	"Subunit of heterohexameric prefoldin, which binds cytosolic chaperonin and transfers target proteins to it; involved in the biogenesis of actin and of alpha- and gamma-tubulin"	"unfolded protein binding (IMP, ISS, IEA)"	"cytoskeleton organization and biogenesis (IMP); protein folding (IMP, IEA, ISS); telomere maintenance (IMP)"	"prefoldin complex (ISS, IEA, IMP)"	no	hom
YJL180C::chr10_1	ATP12	2.02035	0.404832	Conserved protein required for assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase; mutation of human ATP12 reduces active ATP synthase levels and is associated with the disorder ATPAF2 deficiency	protein domain specific binding (IPI)	"mitochondrial proton-transporting ATP synthase complex assembly (IMP, IPI)"	"mitochondrion (IDA, IEA)"	no	hom
YJL181W::chr10_1	YJL181W	0.0856293	0.0126658	Putative protein of unknown function; expression is cell-cycle regulated as shown by microarray analysis	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YJL182C::chr10_1	YJL182C	0.417594	0.174823	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YJL181W"				no	hom
YJL183W::chr10_1	MNN11	0.170879	0.108534	"Subunit of a Golgi mannosyltransferase complex that also contains Anp1p, Mnn9p, Mnn10p, and Hoc1p, and mediates elongation of the polysaccharide mannan backbone; has homology to Mnn10p"	"alpha-1,6-mannosyltransferase activity (IDA); transferase activity (IEA); transferase activity, transferring glycosyl groups (IEA); transferase activity, transferring hexosyl groups (IEA)"	"protein amino acid glycosylation (IMP, IDA)"	"Golgi apparatus (IEA); alpha-1,6-mannosyltransferase complex (IPI); integral to membrane (IEA); membrane (IEA)"	no	hom
YJL184W::chr00_14	GON7			"Protein proposed to be involved in the modification of N-linked oligosaccharides, osmotic stress response, telomere uncapping and elongation, transcription; component of the EKC/KEOPS protein complex with Kae1p, Cgi121p, Pcc1p, and Bud32p"	chromatin DNA binding (IDA)	"cell wall mannoprotein biosynthetic process (IMP); positive regulation of transcription from RNA polymerase II promoter (IPI); regulation of transcription, DNA-dependent (IEA); response to osmotic stress (IEP); telomere maintenance (IMP); transcription (IEA)"	"EKC/KEOPS protein complex (IDA); chromosome (IEA); chromosome, telomeric region (IEA); nuclear chromatin (IDA); nucleus (IEA)"	no	hom
YJL185C::chr10_1	YJL185C	-0.277433	-0.00728726	"Putative protein of unknown function; mRNA is weakly cell cycle regulated, peaking in G2 phase; YJL185C is a non-essential gene"	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YJL186W::chr10_1	MNN5	0.504011	0.0937392	"Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment"	"alpha-1,2-mannosyltransferase activity (IMP); transferase activity (IEA); transferase activity, transferring glycosyl groups (IEA)"	protein amino acid glycosylation (IMP)	"Golgi apparatus (IEA, IDA)"	no	hom
YJL187C::chr10_1	SWE1	0.670989	0.100872	Protein kinase that regulates the G2/M transition by inhibition of Cdc28p kinase activity; localizes to the nucleus and to the daughter side of the mother-bud neck; homolog of S. pombe Wee1p; potential Cdc28p substrate	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, IDA); protein serine/threonine kinase activity (IEA); protein tyrosine kinase activity (IEA); transferase activity (IEA)"	"G2/M transition of mitotic cell cycle (IMP, ISS, IDA); G2/M transition size control checkpoint (IMP, IEP); cell cycle (IEA); cell division (IEA); cell morphogenesis checkpoint (IDA, IEP, IMP); meiosis (IEA); mitosis (IEA); protein amino acid phosphorylation (IEA); re-entry into mitotic cell cycle (IGI); regulation of cell size (IMP); regulation of cyclin-dependent protein kinase activity (IDA); regulation of meiosis (IMP, IEP, IGI)"	"cellular bud neck (IDA, IEA); nucleus (IEA, IDA)"	no	hom
YJL188C::chr10_1	BUD19	-0.757176	-0.16833	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 88% of ORF overlaps the verified gene RPL39; diploid mutant displays a weak budding pattern phenotype in a systematic assay"				no	hom
YJL189W::chr00_14	RPL39	-0.595034	-0.083297	"Protein component of the large (60S) ribosomal subunit, has similarity to rat L39 ribosomal protein; required for ribosome biogenesis; exhibits genetic interactions with SIS1 and PAB1"	"structural constituent of ribosome (TAS, IEA)"	"translation (IEA, TAS)"	cytoplasm (IEA); cytosolic large ribosomal subunit (TAS); intracellular (IEA); ribonucleoprotein complex (IEA); ribosome (IEA)	no	hom
